date,TXF_外資及陸資,TXF_投信,TXF_自營商,MXF_外資及陸資,MXF_投信,MXF_自營商
2023-08-01,326,-117,-5328,1183,203,-981
2023-08-02,-5327,-359,-5586,-9737,211,-2212
2023-08-04,-1384,-238,-4942,-9048,211,-1889
2023-08-07,1990,250,-5588,1475,207,412
2023-08-08,-367,497,-4534,-5007,202,-1671
2023-08-09,1897,566,-5323,-4164,205,-531
2023-08-10,-3874,762,-3465,-6574,203,-1687
2023-08-11,-1115,722,-4873,-3215,184,-3833
2023-08-14,-11208,1034,-1869,-10202,156,-5251
2023-08-15,-3582,-259,-5042,-103,159,-4529
2023-08-16,-2370,50,-4314,-4634,132,-9524
2023-08-17,946,287,-3648,-4523,115,-8402
2023-08-18,-774,128,-3757,-10442,115,-9973
2023-08-21,-6087,211,-4472,-8116,110,-8968
2023-08-22,-5076,195,-4305,-6025,102,-9043
2023-08-23,-3006,540,-5105,6128,102,-5578
2023-08-24,-1638,1278,-4444,623,110,-4275
2023-08-25,-11836,1444,-3322,-10680,102,-7835
2023-08-28,-8290,1813,-3863,-2505,101,-6608
2023-08-29,-4856,1956,-3669,-1863,101,-2153
2023-08-30,-6694,1629,-3055,96,102,-669
2023-08-31,-8451,953,-1753,-6287,100,-1727
2023-09-01,-6106,960,-2978,-2324,107,-1511
2023-09-04,-3490,1218,-2584,6053,107,-1136
2023-09-05,-6230,1138,-1293,-1623,105,-1696
2023-09-06,-5132,1022,-1741,-5841,105,-1059
2023-09-07,-3110,789,-1857,-8531,105,-3699
2023-09-08,-3887,1173,-2426,-5243,109,-3862
2023-09-11,-6601,1400,-2245,-12909,106,-4216
2023-09-12,-1123,1638,-3733,-2687,152,-1070
2023-09-13,-667,2083,-3154,-3712,158,-5
2023-09-14,1936,2559,-3974,10554,159,5991
2023-09-15,-1469,1949,-2151,4339,162,7204
2023-09-18,-6811,2344,-510,-7875,166,1388
2023-09-19,-8399,2009,-125,-11139,165,-1471
2023-09-20,-6165,2234,-1466,-9612,159,-6108
2023-09-21,-13203,2643,-842,-20238,163,-6100
2023-09-22,-10613,2834,-808,-13891,159,-5562
2023-09-25,-5037,3195,-2075,-3851,157,-3156
2023-09-26,-6116,2774,-414,-10487,157,-3499
2023-09-27,-8249,2783,-304,-10702,159,-3973
2023-09-28,-10084,3012,172,-9150,160,-3132
2023-10-02,-7012,3555,-958,-904,165,-1565
2023-10-03,-9837,3335,767,-12425,159,-567
2023-10-04,-8471,2889,-314,-15030,159,-2860
2023-10-05,-2594,3169,-1033,-4103,160,2176
2023-10-06,-4058,3339,-915,-2908,161,2819
2023-10-11,-4032,3789,-369,1437,165,4986
2023-10-12,-877,3814,-666,707,168,6151
2023-10-13,-468,3718,648,-6201,167,4184
2023-10-16,-1420,3218,523,-11360,183,699
2023-10-17,-1226,3352,-975,-8863,187,-840
2023-10-18,-8166,1377,-1614,-4306,169,-9997
2023-10-19,-5306,1606,-2379,-2048,163,-10153
2023-10-20,-4579,1847,-2483,-3356,162,-10188
2023-10-23,-10479,1889,-2331,-10229,163,-11231
2023-10-24,-11897,2394,-2401,-4995,153,-10215
2023-10-25,-8177,2594,-2514,-738,156,-8929
2023-10-26,-12384,2184,-1955,-15481,156,-8867
2023-10-27,-9142,2343,-1724,-3128,156,-7824
2023-10-30,-12483,2386,-1304,-4320,156,-6717
2023-10-31,-15297,2108,-637,-13574,156,-9167
2023-11-01,-13396,2892,-1028,-5747,156,-8031
2023-11-02,-3904,3621,-2246,8746,158,-5156
2023-11-03,662,3966,-2685,9871,161,-4900
