date,pcr_vol,pcr_oi
2001-12-24,24.02,13.18
2001-12-25,21.88,24.78
2001-12-26,46.63,35.06
2001-12-27,63.02,41.95
2001-12-28,86.47,49.1
2001-12-31,123.29,66.78
2002-01-02,70.79,68.89
2002-01-03,130.65,75.16
2002-01-04,112.13,87.05
2002-01-07,71.39,90.97
2002-01-08,103.86,89.83
2002-01-09,155.18,95.95
2002-01-10,176.0,95.53
2002-01-11,81.77,86.45
2002-01-14,120.73,85.07
2002-01-15,59.86,81.2
2002-01-16,142.91,63.84
2002-01-17,27.5,61.19
2002-01-18,54.18,62.04
2002-01-21,78.84,63.84
2002-01-22,106.97,72.22
2002-01-23,97.25,83.16
2002-01-24,126.89,85.23
2002-01-25,97.56,91.36
2002-01-28,86.54,92.63
2002-01-29,78.45,90.24
2002-01-30,64.91,80.91
2002-01-31,71.88,80.18
2002-02-01,49.17,80.4
2002-02-04,142.62,79.26
2002-02-05,81.49,78.99
2002-02-06,77.39,80.25
2002-02-18,33.2,83.29
2002-02-19,44.26,78.6
2002-02-20,178.07,79.82
2002-02-21,107.39,91.37
2002-02-22,72.65,92.01
2002-02-25,151.69,101.33
2002-02-26,86.68,96.85
2002-02-27,39.21,81.79
2002-03-01,138.43,87.31
2002-03-04,69.73,93.69
2002-03-05,54.88,97.37
2002-03-06,96.63,98.34
2002-03-07,74.02,101.86
2002-03-08,83.66,102.97
2002-03-11,55.22,112.44
2002-03-12,69.03,112.5
2002-03-13,93.5,112.42
2002-03-14,125.39,112.34
2002-03-15,98.47,115.25
2002-03-18,106.0,119.28
2002-03-19,64.71,126.37
2002-03-20,122.17,136.02
2002-03-21,110.81,117.62
2002-03-22,88.72,98.65
2002-03-25,144.07,105.87
2002-03-26,56.74,102.11
2002-03-27,70.17,99.42
2002-03-28,71.93,97.83
2002-03-29,50.22,95.87
2002-04-01,104.8,93.51
2002-04-02,101.22,98.92
2002-04-03,38.48,104.23
2002-04-04,70.38,107.47
2002-04-08,44.38,112.22
2002-04-09,53.5,103.54
2002-04-10,97.52,106.27
2002-04-11,159.78,110.49
2002-04-12,113.81,115.19
2002-04-15,55.59,118.3
2002-04-16,77.22,124.24
2002-04-17,65.55,141.05
2002-04-18,107.53,128.12
2002-04-19,218.79,140.34
2002-04-22,57.88,135.67
2002-04-23,198.53,144.97
2002-04-24,189.44,149.46
2002-04-25,53.7,131.19
2002-04-26,38.12,103.92
2002-04-29,91.34,101.74
2002-04-30,69.37,97.89
2002-05-02,71.36,87.6
2002-05-03,65.9,71.96
2002-05-06,49.36,63.59
2002-05-07,109.34,61.58
2002-05-08,61.84,60.7
2002-05-09,49.26,62.26
2002-05-10,65.82,62.27
2002-05-13,97.86,62.97
2002-05-14,93.53,66.37
2002-05-15,59.03,95.28
2002-05-16,123.95,96.62
2002-05-17,81.96,96.12
2002-05-20,116.54,97.84
2002-05-21,142.02,93.1
2002-05-22,80.99,93.99
2002-05-23,79.42,96.14
2002-05-24,121.86,108.35
2002-05-27,94.97,109.42
2002-05-28,123.53,110.38
2002-05-29,89.99,108.04
2002-05-30,116.41,115.44
2002-05-31,85.97,109.1
2002-06-03,101.03,98.3
2002-06-04,108.95,92.55
2002-06-05,93.89,96.11
2002-06-06,73.07,97.52
2002-06-07,104.74,77.69
2002-06-10,74.06,78.67
2002-06-11,102.81,75.05
2002-06-12,75.82,72.71
2002-06-13,61.67,78.24
2002-06-14,55.94,76.77
2002-06-17,68.24,78.01
2002-06-18,61.76,78.85
2002-06-19,123.66,64.3
2002-06-20,67.54,64.64
2002-06-21,68.26,69.45
2002-06-24,74.0,69.03
2002-06-25,65.97,67.39
2002-06-26,51.6,55.04
2002-06-27,62.73,56.69
2002-06-28,52.45,58.14
2002-07-01,70.22,57.49
2002-07-02,82.57,57.45
2002-07-03,107.11,59.46
2002-07-04,86.39,65.25
2002-07-05,96.45,70.33
2002-07-08,56.45,71.77
2002-07-09,121.21,76.11
2002-07-10,68.22,74.28
2002-07-11,95.41,73.86
2002-07-12,62.6,78.49
2002-07-15,63.38,80.81
2002-07-16,54.68,79.92
2002-07-17,111.61,96.03
2002-07-18,63.76,91.67
2002-07-19,71.75,87.64
2002-07-22,115.05,89.57
2002-07-23,76.48,86.52
2002-07-24,81.58,79.8
2002-07-25,66.38,77.92
2002-07-26,64.75,63.47
2002-07-29,58.15,66.66
2002-07-30,68.0,73.21
2002-07-31,63.78,72.38
2002-08-01,52.82,71.72
2002-08-02,75.11,70.33
2002-08-05,58.7,61.57
2002-08-06,98.99,65.48
2002-08-07,62.63,68.48
2002-08-08,78.35,67.29
2002-08-09,70.35,73.68
2002-08-12,86.73,75.45
2002-08-13,101.32,77.73
2002-08-14,120.65,78.85
2002-08-15,95.01,86.54
2002-08-16,81.0,91.0
2002-08-19,63.49,89.89
2002-08-20,74.4,92.16
