日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2023/08/01,小型臺指期貨,自營商,11953,10246344,10574,9063201,1379,1183143,7884,6769293,8865,7603715,-981,-834422
2023/08/01,小型臺指期貨,投信,1,859,5,4287,-4,-3428,221,189817,18,15460,203,174357
2023/08/01,小型臺指期貨,外資及陸資,91938,78823531,86125,73834138,5813,4989393,5256,4514398,4073,3497258,1183,1017140
2023/08/02,小型臺指期貨,自營商,17004,14444102,19263,16344169,-2259,-1900067,8877,7462803,11089,9306672,-2212,-1843869
2023/08/02,小型臺指期貨,投信,9,7581,1,841,8,6740,229,192589,18,15138,211,177451
2023/08/02,小型臺指期貨,外資及陸資,107810,91702647,122782,104440102,-14972,-12737454,2722,2289172,12459,10476457,-9737,-8187285
2023/08/04,小型臺指期貨,自營商,13414,11240809,13739,11504131,-325,-263322,8696,7312134,10585,8885271,-1889,-1573137
2023/08/04,小型臺指期貨,投信,0,0,0,0,0,0,229,192623,18,15141,211,177482
2023/08/04,小型臺指期貨,外資及陸資,114965,96381385,114276,95786581,689,594805,3708,3118959,12756,10728045,-9048,-7609086
2023/08/07,小型臺指期貨,自營商,16175,13657567,14114,11914120,2061,1743447,7936,6742574,7524,6381624,412,360950
2023/08/07,小型臺指期貨,投信,1,850,5,4221,-4,-3371,224,190400,17,14450,207,175950
2023/08/07,小型臺指期貨,外資及陸資,120035,101289420,109512,92391255,10523,8898165,6213,5281019,4738,4025421,1475,1255598
2023/08/08,小型臺指期貨,自營商,13551,11447166,15866,13396017,-2315,-1948851,8364,7045637,10035,8439427,-1671,-1393790
2023/08/08,小型臺指期貨,投信,0,0,5,4212,-5,-4212,219,184529,17,14324,202,170205
2023/08/08,小型臺指期貨,外資及陸資,111860,94552552,118358,100078135,-6498,-5525584,2175,1832659,7182,6049926,-5007,-4217267
2023/08/09,小型臺指期貨,自營商,16288,13708788,15169,12758513,1119,950275,7815,6583387,8346,7018704,-531,-435317
2023/08/09,小型臺指期貨,投信,3,2528,0,0,3,2528,220,185383,15,12640,205,172743
2023/08/09,小型臺指期貨,外資及陸資,108578,91349775,107722,90610922,856,738854,2968,2500975,7132,6008088,-4164,-3507113
2023/08/10,小型臺指期貨,自營商,16402,13699453,19250,16074898,-2848,-2375445,8335,6940396,10022,8332640,-1687,-1392244
2023/08/10,小型臺指期貨,投信,0,0,2,1666,-2,-1666,220,183216,17,14158,203,169058
2023/08/10,小型臺指期貨,外資及陸資,124613,104183513,130295,108925970,-5682,-4742457,1614,1344133,8188,6816698,-6574,-5472565
2023/08/11,小型臺指期貨,自營商,16239,13541926,17345,14463035,-1106,-921109,6098,5066726,9931,8240235,-3833,-3173509
2023/08/11,小型臺指期貨,投信,0,0,19,15793,-19,-15793,201,167081,17,14131,184,152950
2023/08/11,小型臺指期貨,外資及陸資,135073,112710625,131746,109919053,3327,2791572,3021,2511201,6236,5180759,-3215,-2669558
2023/08/14,小型臺指期貨,自營商,20652,16982290,22070,18152671,-1418,-1170381,7022,5749682,12273,10034283,-5251,-4284601
2023/08/14,小型臺指期貨,投信,73,59676,101,82627,-28,-22951,168,137516,12,9815,156,127701
2023/08/14,小型臺指期貨,外資及陸資,125215,103152545,135702,111782270,-10487,-8629725,2000,1637688,12202,9987357,-10202,-8349669
2023/08/15,小型臺指期貨,自營商,19174,15768276,18868,15515002,306,253274,5216,4282530,9745,7986087,-4529,-3703557
2023/08/15,小型臺指期貨,投信,111,91087,108,88753,3,2334,168,137765,9,7380,159,130385
2023/08/15,小型臺指期貨,外資及陸資,103569,85165556,93478,76867857,10091,8297699,5697,4676815,5800,4758676,-103,-81861
2023/08/16,小型臺指期貨,自營商,18770,15347570,18811,15375103,-41,-27533,1140,933783,10664,8724623,-9524,-7790840
2023/08/16,小型臺指期貨,投信,0,0,23,18827,-23,-18827,143,117067,11,9005,132,108062
2023/08/16,小型臺指期貨,外資及陸資,100622,82287472,101003,82600457,-381,-312985,2163,1770766,6797,5564732,-4634,-3793966
2023/08/17,小型臺指期貨,自營商,14652,11991785,13890,11369793,762,621992,2554,2102182,10956,9009244,-8402,-6907062
2023/08/17,小型臺指期貨,投信,3,2469,20,16453,-17,-13985,123,101204,8,6582,115,94622
