日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2023/08/01,臺股期貨,自營商,8417,28867839,8513,29193007,-96,-325169,5091,17477964,10419,35781685,-5328,-18303721
2023/08/01,臺股期貨,投信,154,529152,291,999797,-137,-470646,11488,39465323,11605,39870138,-117,-404815
2023/08/01,臺股期貨,外資及陸資,57411,196901916,53300,182807282,4111,14094634,32670,112238320,32344,111118122,326,1120198
2023/08/02,臺股期貨,自營商,17362,58973177,17381,58981592,-19,-8415,5782,19439736,11368,38223538,-5586,-18783802
2023/08/02,臺股期貨,投信,276,929110,518,1744526,-242,-815416,11646,39174744,12005,40384820,-359,-1210076
2023/08/02,臺股期貨,外資及陸資,69726,237001420,74356,252898720,-4630,-15897301,29816,100297216,35143,118218214,-5327,-17920998
2023/08/04,臺股期貨,自營商,11108,37263417,10302,34561198,806,2702219,5868,19732814,10810,36353896,-4942,-16621082
2023/08/04,臺股期貨,投信,303,1019519,182,611139,121,408380,11866,39922094,12104,40725118,-238,-803024
2023/08/04,臺股期貨,外資及陸資,71549,240001723,67606,226788758,3943,13212965,32140,108134574,33524,112791790,-1384,-4657216
2023/08/07,臺股期貨,自營商,11089,37470830,11675,39466928,-586,-1996098,4722,16043515,10310,35037502,-5588,-18993987
2023/08/07,臺股期貨,投信,518,1757529,30,101994,488,1655536,11971,40698400,11721,39851400,250,847000
2023/08/07,臺股期貨,外資及陸資,69648,235256316,66274,223885893,3374,11370423,33501,113898833,31511,107133450,1990,6765383
2023/08/08,臺股期貨,自營商,13518,45667829,12406,41899240,1112,3768589,5591,18834630,10125,34107596,-4534,-15272966
2023/08/08,臺股期貨,投信,287,967449,40,134783,247,832666,12222,41190854,11725,39517940,497,1672914
2023/08/08,臺股期貨,外資及陸資,69811,235933035,72164,243981491,-2353,-8048456,30522,102867498,30889,104104497,-367,-1236999
2023/08/09,臺股期貨,自營商,13100,44099775,13889,46753814,-789,-2654038,4259,14346699,9582,32280397,-5323,-17933698
2023/08/09,臺股期貨,投信,183,616390,114,383846,69,232544,12304,41469690,11738,39564103,566,1905587
2023/08/09,臺股期貨,外資及陸資,63793,214724345,61529,207128268,2264,7596077,30897,104137023,29000,97743502,1897,6393521
2023/08/10,臺股期貨,自營商,14479,48330751,12198,40730230,2281,7600521,5473,18223681,8938,29759111,-3465,-11535430
2023/08/10,臺股期貨,投信,665,2214866,469,1562277,196,652590,12832,42743804,12070,40207500,762,2536304
2023/08/10,臺股期貨,外資及陸資,73453,245444649,78406,261987707,-4953,-16543057,25413,84651983,29287,97557057,-3874,-12905074
2023/08/11,臺股期貨,自營商,12729,42446515,14397,48026859,-1668,-5580344,4838,16075037,9711,32271984,-4873,-16196947
2023/08/11,臺股期貨,投信,76,252528,116,387071,-40,-134543,12891,42860257,12169,40461841,722,2398416
2023/08/11,臺股期貨,外資及陸資,79880,266528022,77113,257298614,2767,9229408,26627,88526860,27742,92233046,-1115,-3706186
2023/08/14,臺股期貨,自營商,23283,76482716,20279,66591489,3004,9891227,8245,26990888,10114,33102192,-1869,-6111304
2023/08/14,臺股期貨,投信,14842,48545737,14530,47524481,312,1021256,13375,43778865,12341,40395223,1034,3383642
