日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/html4/strict.dtd"">"
397.0,322.0,123.29,941.0,1409.0,66.78,,
262.0,303.0,86.47,680.0,1385.0,49.1,,
242.0,384.0,63.02,555.0,1323.0,41.95,,
270.0,579.0,46.63,414.0,1181.0,35.06,,
172.0,786.0,21.88,221.0,892.0,24.78,,
275.0,1145.0,24.02,90.0,683.0,13.18,,
225.0,313.0,71.88,2241.0,2795.0,80.18,,
457.0,704.0,64.91,2233.0,2760.0,80.91,,
466.0,594.0,78.45,2174.0,2409.0,90.24,,
315.0,364.0,86.54,2125.0,2294.0,92.63,,
400.0,410.0,97.56,2008.0,2198.0,91.36,,
420.0,331.0,126.89,1824.0,2140.0,85.23,,
530.0,545.0,97.25,1664.0,2001.0,83.16,,
353.0,330.0,106.97,1378.0,1908.0,72.22,,
611.0,775.0,78.84,1169.0,1831.0,63.84,,
162.0,299.0,54.18,943.0,1520.0,62.04,,
179.0,651.0,27.5,861.0,1407.0,61.19,,
383.0,268.0,142.91,722.0,1131.0,63.84,,
261.0,436.0,59.86,2371.0,2920.0,81.2,,
332.0,275.0,120.73,2337.0,2747.0,85.07,,
462.0,565.0,81.77,2310.0,2672.0,86.45,,
616.0,350.0,176.0,2203.0,2306.0,95.53,,
509.0,328.0,155.18,2039.0,2125.0,95.95,,
296.0,285.0,103.86,1810.0,2015.0,89.83,,
292.0,409.0,71.39,1683.0,1850.0,90.97,,
342.0,305.0,112.13,1512.0,1737.0,87.05,,
405.0,310.0,130.65,1277.0,1699.0,75.16,,
206.0,291.0,70.79,1072.0,1556.0,68.89,,
594.0,1515.0,39.21,2748.0,3360.0,81.79,,
872.0,1006.0,86.68,2641.0,2727.0,96.85,,
628.0,414.0,151.69,1988.0,1962.0,101.33,,
486.0,669.0,72.65,1577.0,1714.0,92.01,,
494.0,460.0,107.39,1175.0,1286.0,91.37,,
1015.0,570.0,178.07,787.0,986.0,79.82,,
320.0,723.0,44.26,2508.0,3191.0,78.6,,
257.0,774.0,33.2,2353.0,2825.0,83.29,,
267.0,345.0,77.39,2275.0,2835.0,80.25,,
273.0,335.0,81.49,2226.0,2818.0,78.99,,
261.0,183.0,142.62,2194.0,2768.0,79.26,,
178.0,362.0,49.17,2223.0,2765.0,80.4,,
449.0,894.0,50.22,3390.0,3536.0,95.87,,
387.0,538.0,71.93,3064.0,3132.0,97.83,,
527.0,751.0,70.17,2919.0,2936.0,99.42,,
387.0,682.0,56.74,2716.0,2660.0,102.11,,
595.0,413.0,144.07,2452.0,2316.0,105.87,,
755.0,851.0,88.72,2120.0,2149.0,98.65,,
830.0,749.0,110.81,1729.0,1470.0,117.62,,
992.0,812.0,122.17,1182.0,869.0,136.02,,
682.0,1054.0,64.71,5228.0,4137.0,126.37,,
884.0,834.0,106.0,5049.0,4233.0,119.28,,
710.0,721.0,98.47,4853.0,4211.0,115.25,,
721.0,575.0,125.39,4726.0,4207.0,112.34,,
590.0,631.0,93.5,4579.0,4073.0,112.42,,
263.0,381.0,69.03,4303.0,3825.0,112.5,,
439.0,795.0,55.22,4177.0,3715.0,112.44,,
466.0,557.0,83.66,3957.0,3843.0,102.97,,
339.0,458.0,74.02,3788.0,3719.0,101.86,,
688.0,712.0,96.63,3609.0,3670.0,98.34,,
399.0,727.0,54.88,3442.0,3535.0,97.37,,
675.0,968.0,69.73,3280.0,3501.0,93.69,,
389.0,281.0,138.43,3028.0,3468.0,87.31,,
1936.0,2791.0,69.37,7739.0,7906.0,97.89,,
1393.0,1525.0,91.34,7621.0,7491.0,101.74,,
1024.0,2686.0,38.12,7258.0,6984.0,103.92,,
987.0,1838.0,53.7,6902.0,5261.0,131.19,,
1220.0,644.0,189.44,6379.0,4268.0,149.46,,
1622.0,817.0,198.53,5667.0,3909.0,144.97,,
643.0,1111.0,57.88,4868.0,3588.0,135.67,,
1234.0,564.0,218.79,4394.0,3131.0,140.34,,
771.0,717.0,107.53,3645.0,2845.0,128.12,,
1134.0,1730.0,65.55,3271.0,2319.0,141.05,,
573.0,742.0,77.22,6561.0,5281.0,124.24,,
666.0,1198.0,55.59,6141.0,5191.0,118.3,,
1450.0,1274.0,113.81,5763.0,5003.0,115.19,,
735.0,460.0,159.78,5109.0,4624.0,110.49,,
1103.0,1131.0,97.52,4715.0,4437.0,106.27,,
596.0,1114.0,53.5,4300.0,4153.0,103.54,,
371.0,836.0,44.38,4216.0,3757.0,112.22,,
556.0,790.0,70.38,4069.0,3786.0,107.47,,
546.0,1419.0,38.48,3996.0,3834.0,104.23,,
581.0,574.0,101.22,3752.0,3793.0,98.92,,
415.0,396.0,104.8,3516.0,3760.0,93.51,,
1152.0,1340.0,85.97,10785.0,9885.0,109.1,,
2405.0,2066.0,116.41,10907.0,9448.0,115.44,,
1537.0,1708.0,89.99,10308.0,9541.0,108.04,,
2137.0,1730.0,123.53,9902.0,8971.0,110.38,,
1701.0,1791.0,94.97,9234.0,8439.0,109.42,,
2258.0,1853.0,121.86,8717.0,8045.0,108.35,,
1181.0,1487.0,79.42,7669.0,7977.0,96.14,,
2101.0,2594.0,80.99,7112.0,7567.0,93.99,,
2589.0,1823.0,142.02,6575.0,7062.0,93.1,,
2360.0,2025.0,116.54,6206.0,6343.0,97.84,,
877.0,1070.0,81.96,5525.0,5748.0,96.12,,
1480.0,1194.0,123.95,5167.0,5348.0,96.62,,
1628.0,2758.0,59.03,4583.0,4810.0,95.28,,
1113.0,1190.0,93.53,10205.0,15375.0,66.37,,
1099.0,1123.0,97.86,9637.0,15305.0,62.97,,
1471.0,2235.0,65.82,9326.0,14976.0,62.27,,
1237.0,2511.0,49.26,9141.0,14681.0,62.26,,
1462.0,2364.0,61.84,8950.0,14744.0,60.7,,
1955.0,1788.0,109.34,8531.0,13854.0,61.58,,
1863.0,3774.0,49.36,8096.0,12732.0,63.59,,
2116.0,3211.0,65.9,7631.0,10605.0,71.96,,
2522.0,3534.0,71.36,7967.0,9095.0,87.6,,
1368.0,2608.0,52.45,8927.0,15354.0,58.14,,
2388.0,3807.0,62.73,8479.0,14958.0,56.69,,
3267.0,6331.0,51.6,7259.0,13189.0,55.04,,
2047.0,3103.0,65.97,6753.0,10021.0,67.39,,
1910.0,2581.0,74.0,5939.0,8604.0,69.03,,
1714.0,2511.0,68.26,5189.0,7472.0,69.45,,
2102.0,3112.0,67.54,4432.0,6856.0,64.64,,
3256.0,2633.0,123.66,3118.0,4849.0,64.3,,
1224.0,1982.0,61.76,11497.0,14580.0,78.85,,
1384.0,2028.0,68.24,11454.0,14682.0,78.01,,
1244.0,2224.0,55.94,11216.0,14610.0,76.77,,
2261.0,3666.0,61.67,11221.0,14342.0,78.24,,
1088.0,1435.0,75.82,10578.0,14548.0,72.71,,
2120.0,2062.0,102.81,10591.0,14111.0,75.05,,
1256.0,1696.0,74.06,10376.0,13189.0,78.67,,
3537.0,3377.0,104.74,10295.0,13252.0,77.69,,
1061.0,1452.0,73.07,11040.0,11321.0,97.52,,
1552.0,1653.0,93.89,10763.0,11199.0,96.11,,
1498.0,1375.0,108.95,10441.0,11281.0,92.55,,
1866.0,1847.0,101.03,10523.0,10705.0,98.3,,
1231.0,1930.0,63.78,10529.0,14546.0,72.38,,
2437.0,3584.0,68.0,10054.0,13733.0,73.21,,
2045.0,3517.0,58.15,9109.0,13665.0,66.66,,
3738.0,5773.0,64.75,8015.0,12629.0,63.47,,
1765.0,2659.0,66.38,7441.0,9549.0,77.92,,
1665.0,2041.0,81.58,7015.0,8791.0,79.8,,
1704.0,2228.0,76.48,6911.0,7988.0,86.52,,
1827.0,1588.0,115.05,6544.0,7306.0,89.57,,
1402.0,1954.0,71.75,5808.0,6627.0,87.64,,
1212.0,1901.0,63.76,5339.0,5824.0,91.67,,
2577.0,2309.0,111.61,4764.0,4961.0,96.03,,
1801.0,3294.0,54.68,16065.0,20102.0,79.92,,
1464.0,2310.0,63.38,15941.0,19727.0,80.81,,
3700.0,5911.0,62.6,15409.0,19633.0,78.49,,
2518.0,2639.0,95.41,14893.0,20163.0,73.86,,
2284.0,3348.0,68.22,14576.0,19623.0,74.28,,
2349.0,1938.0,121.21,14176.0,18626.0,76.11,,
2205.0,3906.0,56.45,13254.0,18467.0,71.77,,
2965.0,3074.0,96.45,13016.0,18508.0,70.33,,
2647.0,3064.0,86.39,12096.0,18537.0,65.25,,
4083.0,3812.0,107.11,10932.0,18385.0,59.46,,
2099.0,2542.0,82.57,9886.0,17207.0,57.45,,
2889.0,4114.0,70.22,9253.0,16094.0,57.49,,
2825.0,2289.0,123.42,15018.0,13399.0,112.08,,
2105.0,2892.0,72.79,13634.0,12392.0,110.02,,
3094.0,2463.0,125.62,13122.0,11421.0,114.89,,
2321.0,2561.0,90.63,12108.0,10683.0,113.34,,
2060.0,1915.0,107.57,11646.0,9621.0,121.05,,
2059.0,2665.0,77.26,11070.0,9183.0,120.55,,
2447.0,2416.0,101.28,10096.0,8253.0,122.33,,
2085.0,2625.0,79.43,8537.0,6876.0,124.16,,
2368.0,3183.0,74.4,19269.0,20908.0,92.16,,
1626.0,2561.0,63.49,18822.0,20939.0,89.89,,
1982.0,2447.0,81.0,18699.0,20549.0,91.0,,
3810.0,4010.0,95.01,17863.0,20641.0,86.54,,
2699.0,2237.0,120.65,16727.0,21214.0,78.85,,
1843.0,1819.0,101.32,16122.0,20740.0,77.73,,
1458.0,1681.0,86.73,15643.0,20734.0,75.45,,
3194.0,4540.0,70.35,15294.0,20758.0,73.68,,
2171.0,2771.0,78.35,14338.0,21309.0,67.29,,
2182.0,3484.0,62.63,13739.0,20062.0,68.48,,
4101.0,4143.0,98.99,13012.0,19873.0,65.48,,
3016.0,5138.0,58.7,11037.0,17927.0,61.57,,
2100.0,2796.0,75.11,11226.0,15963.0,70.33,,
787.0,1490.0,52.82,10811.0,15074.0,71.72,,
4289.0,5554.0,77.22,16897.0,20169.0,83.78,,
3341.0,3567.0,93.66,15831.0,18815.0,84.14,,
2828.0,3547.0,79.73,15141.0,17609.0,85.98,,
6044.0,4089.0,147.81,14042.0,16603.0,84.58,,
2186.0,2671.0,81.84,12382.0,14850.0,83.38,,
2499.0,3106.0,80.46,11940.0,13850.0,86.21,,
3186.0,4105.0,77.61,11078.0,12762.0,86.8,,
2533.0,3046.0,83.16,10014.0,10813.0,92.61,,
3593.0,3447.0,104.24,8634.0,9297.0,92.87,,
3770.0,4612.0,81.74,19508.0,24622.0,79.23,,
3764.0,2559.0,147.09,18963.0,23840.0,79.54,,
2060.0,1970.0,104.57,19446.0,23276.0,83.55,,
1805.0,3369.0,53.58,18980.0,22723.0,83.53,,
2404.0,2841.0,84.62,18545.0,21723.0,85.37,,
3382.0,4317.0,78.34,17371.0,21076.0,82.42,,
3206.0,4023.0,79.69,16985.0,20934.0,81.14,,
3202.0,4095.0,78.19,17195.0,19691.0,87.32,,
3001.0,4563.0,65.77,17002.0,17935.0,94.8,,
4047.0,3596.0,112.54,16458.0,16510.0,99.69,,
2695.0,3167.0,85.1,15321.0,14804.0,103.49,,
4291.0,8067.0,53.19,24228.0,30222.0,80.17,,
5996.0,7689.0,77.98,23336.0,29717.0,78.53,,
3893.0,5082.0,76.6,22707.0,27885.0,81.43,,
4048.0,7367.0,54.95,21228.0,25956.0,81.78,,
4491.0,5864.0,76.59,20438.0,23811.0,85.83,,
5189.0,6433.0,80.66,19289.0,22893.0,84.26,,
6501.0,9374.0,69.35,17976.0,20756.0,86.61,,
4862.0,6035.0,80.56,16940.0,19582.0,86.51,,
2506.0,4241.0,59.09,15190.0,18009.0,84.35,,
5323.0,7987.0,66.65,14204.0,16374.0,86.75,,
5371.0,7184.0,74.76,12104.0,14503.0,83.46,,
4991.0,9152.0,54.53,9229.0,12074.0,76.44,,
6488.0,10493.0,61.83,20839.0,31428.0,66.31,,
4006.0,4550.0,88.04,21554.0,32353.0,66.62,,
6081.0,7938.0,76.61,20382.0,31701.0,64.29,,
