name,sharpe,p_value,n_days,note
basis_z120_ls,0.703,0.001,6711,
ma_20_60_lo,0.629,0.0015,6895,
rsi2_lo,0.429,0.0025,6755,
ma_50_200_lo,0.524,0.003,6755,
basis_z120_nodiv_ls,0.536,0.0045,6711,
buy_hold,0.52,0.0055,6955,
pcr_oi_ls,0.368,0.0275,6056,
ma_20_60_ls,0.293,0.0535,6895,
tsmom_60_ls,0.295,0.0575,6895,
tom_1_3,0.337,0.063,6955,
tsmom_120_ls,0.269,0.0645,6835,
tsmom_250_ls,0.252,0.098,6705,
ma_50_200_ls,0.214,0.1229,6755,
rsi2_ls,0.178,0.1324,6755,
donchian_55_20_ls,0.209,0.1339,6900,
overnight_long,0.192,0.1559,6955,
donchian_20_10_ls,0.14,0.2279,6935,
ma_5_20_ls,0.131,0.2399,6935,
tom_0_3,0.127,0.2859,6955,
foreign_z60_ls,0.14,0.3913,667,
boll_20_2_ls,0.034,0.4428,6755,
foreign_level_ls,-1.318,0.994,727,
intraday_short,-0.575,1.0,6955,
foreign_level_lo,,,727,insufficient_active_days
mtx_retail_z120_ls,,,607,insufficient_active_days
