name,start,end,n_days,cagr_pct,ann_vol_pct,sharpe,max_dd_pct,t_stat,exposure_pct,n_trades,trades_per_yr,win_rate_pct,avg_trade_pct,profit_factor,total_cost_pct,slippage
buy_hold,1998-07-22,2026-07-31,6956,10.24,23.53,0.532,-67.21,2.82,100.0,1,0.0,100.0,1441.84,,3.75,0
buy_hold,1998-07-22,2026-07-31,6956,9.93,23.53,0.52,-67.42,2.76,100.0,1,0.0,100.0,1322.647,,11.79,1
buy_hold,1998-07-22,2026-07-31,6956,9.61,23.53,0.508,-67.63,2.69,100.0,1,0.0,100.0,1212.639,,19.83,2
buy_hold,1998-07-22,2026-07-31,6956,9.87,23.53,0.518,-67.54,2.74,100.0,1,0.0,100.0,1303.181,,13.15,vol3
ma_20_60_ls,1998-10-07,2026-07-31,6896,4.51,23.5,0.306,-58.37,1.61,100.0,118,4.2,37.3,1.911,1.64,4.97,0
ma_20_60_ls,1998-10-07,2026-07-31,6896,4.11,23.5,0.289,-59.6,1.53,100.0,118,4.2,37.3,1.812,1.6,15.62,1
ma_20_60_ls,1998-10-07,2026-07-31,6896,3.71,23.5,0.273,-60.83,1.44,100.0,118,4.2,37.3,1.713,1.56,26.27,2
ma_20_60_ls,1998-10-07,2026-07-31,6896,4.05,23.5,0.287,-59.72,1.51,100.0,118,4.2,37.3,1.797,1.6,17.22,vol3
ma_20_60_lo,1998-10-07,2026-07-31,6896,9.4,15.96,0.643,-30.2,3.39,64.2,59,2.1,49.2,5.408,3.25,2.92,0
ma_20_60_lo,1998-10-07,2026-07-31,6896,9.16,15.96,0.629,-30.36,3.32,64.2,59,2.1,49.2,5.301,3.19,9.04,1
ma_20_60_lo,1998-10-07,2026-07-31,6896,8.92,15.97,0.615,-30.53,3.24,64.2,59,2.1,49.2,5.195,3.12,15.15,2
ma_20_60_lo,1998-10-07,2026-07-31,6896,9.13,15.97,0.627,-30.42,3.31,64.2,59,2.1,49.2,5.292,3.18,9.65,vol3
ma_5_20_ls,1998-08-17,2026-07-31,6936,0.98,23.54,0.159,-67.29,0.84,100.0,421,15.1,35.4,0.239,1.14,8.26,0
ma_5_20_ls,1998-08-17,2026-07-31,6936,0.34,23.54,0.132,-71.17,0.7,100.0,421,15.1,35.4,0.196,1.11,25.92,1
