name,sharpe,sr0_annual,dsr_prob,n_trials
basis_z120_ls,0.596,0.448,0.7864,63
ma_20_60_lo,0.549,0.448,0.7058,63
rsi2_lo,0.479,0.448,0.5653,63
buy_hold,0.43,0.448,0.4604,63
ma_50_200_lo,0.389,0.448,0.3745,63
basis_z120_nodiv_ls,0.383,0.448,0.3623,63
foreign_level_lo,0.334,0.448,0.2689,63
tom_1_3,0.329,0.448,0.2601,63
pcr_oi_ls,0.218,0.448,0.1074,63
rsi2_ls,0.2,0.448,0.0905,63
donchian_55_20_ls,0.151,0.448,0.0547,63
ma_20_60_ls,0.141,0.448,0.049,63
donchian_20_10_ls,0.112,0.448,0.0351,63
tsmom_60_ls,0.096,0.448,0.0289,63
overnight_long,0.052,0.448,0.0164,63
tsmom_250_ls,0.029,0.448,0.012,63
tsmom_120_ls,0.019,0.448,0.0104,63
ma_50_200_ls,0.008,0.448,0.0089,63
boll_20_2_ls,-0.026,0.448,0.0053,63
ma_5_20_ls,-0.034,0.448,0.0047,63
mtx_retail_z120_ls,-0.034,0.448,0.0047,63
foreign_z60_ls,-0.047,0.448,0.0038,63
foreign_level_ls,-0.417,0.448,0.0,63
intraday_short,-0.62,0.448,0.0,63
