name,execution,cagr_pct,sharpe
buy_hold,next_open,9.93,0.52
buy_hold,close,9.83,0.516
ma_20_60_ls,next_open,4.11,0.289
ma_20_60_ls,close,4.04,0.286
ma_20_60_lo,next_open,9.16,0.629
ma_20_60_lo,close,9.08,0.623
ma_5_20_ls,next_open,0.34,0.132
ma_5_20_ls,close,0.04,0.12
ma_50_200_ls,next_open,2.34,0.216
ma_50_200_ls,close,2.54,0.225
ma_50_200_lo,next_open,7.8,0.524
ma_50_200_lo,close,7.89,0.529
donchian_20_10_ls,next_open,0.75,0.14
donchian_20_10_ls,close,1.6,0.18
donchian_55_20_ls,next_open,2.19,0.209
donchian_55_20_ls,close,2.12,0.205
tsmom_60_ls,next_open,4.26,0.295
tsmom_60_ls,close,1.52,0.182
tsmom_120_ls,next_open,3.61,0.269
tsmom_120_ls,close,3.37,0.259
tsmom_250_ls,next_open,3.2,0.252
tsmom_250_ls,close,2.03,0.203
rsi2_lo,next_open,3.4,0.428
rsi2_lo,close,4.09,0.506
rsi2_ls,next_open,1.36,0.178
rsi2_ls,close,1.98,0.235
boll_20_2_ls,next_open,-0.27,0.034
boll_20_2_ls,close,-0.39,0.023
tom_1_3,next_open,3.08,0.337
tom_1_3,close,3.62,0.383
tom_0_3,next_open,0.75,0.127
tom_0_3,close,2.09,0.27
foreign_z60_ls,next_open,0.19,0.136
foreign_z60_ls,close,-4.07,-0.031
foreign_level_ls,next_open,-30.3,-1.316
foreign_level_ls,close,-28.56,-1.219
foreign_level_lo,next_open,0.78,0.334
foreign_level_lo,close,2.38,1.059
pcr_oi_ls,next_open,5.29,0.368
pcr_oi_ls,close,4.18,0.312
basis_z120_ls,next_open,9.66,0.703
basis_z120_ls,close,9.24,0.703
basis_z120_nodiv_ls,next_open,5.81,0.536
basis_z120_nodiv_ls,close,4.93,0.493
mtx_retail_z120_ls,next_open,-1.28,-0.034
mtx_retail_z120_ls,close,0.6,0.11
