name,start,end,n_days,ann_ret_pct,ann_vol_pct,sharpe,max_dd_pct,t_stat,exposure_pct,n_trades,trades_per_yr,win_rate_pct,avg_trade_pct,profit_factor,total_cost_pct
buy_hold,1998-07-22,2026-07-31,6956,9.5,23.14,0.41,-67.8,2.74,100.0,1,0.0,100.0,1287.418,,11.79
ma_20_60_ls,1998-07-22,2026-07-31,6956,2.84,23.03,0.123,-60.61,1.27,99.1,128,4.4,35.9,1.371,1.44,16.31
ma_20_60_lo,1998-07-22,2026-07-31,6956,8.22,15.41,0.533,-30.07,3.17,60.3,64,2.2,50.0,4.722,3.08,8.87
ma_5_20_ls,1998-07-22,2026-07-31,6956,-1.19,23.14,-0.051,-82.23,0.34,99.7,419,14.5,31.7,0.092,1.05,26.73
ma_50_200_ls,1998-07-22,2026-07-31,6956,-0.22,22.64,-0.01,-83.21,0.56,97.1,40,1.4,35.0,1.611,1.25,12.93
ma_50_200_lo,1998-07-22,2026-07-31,6956,6.09,16.31,0.374,-34.91,2.39,65.7,20,0.7,55.0,11.334,4.0,7.7
donchian_20_10_ls,1998-07-22,2026-07-31,6956,1.97,20.28,0.097,-54.77,1.06,76.0,231,8.0,37.2,0.452,1.22,17.08
donchian_55_20_ls,1998-07-22,2026-07-31,6956,2.62,19.2,0.137,-54.51,1.24,64.1,97,3.3,45.4,1.254,1.44,11.11
tsmom_60_ls,1998-07-22,2026-07-31,6956,1.8,23.03,0.078,-65.01,1.04,99.1,325,11.2,30.8,0.417,1.27,23.3
tsmom_120_ls,1998-07-22,2026-07-31,6956,0.03,22.88,0.001,-78.87,0.62,98.3,268,9.2,30.2,0.293,1.18,21.59
tsmom_250_ls,1998-07-22,2026-07-31,6956,0.26,22.58,0.012,-79.63,0.67,96.4,179,6.2,33.0,0.408,1.24,18.12
rsi2_lo,1998-07-22,2026-07-31,6956,3.83,8.08,0.474,-16.84,2.72,11.0,189,6.5,70.4,0.616,2.23,7.13
rsi2_ls,1998-07-22,2026-07-31,6956,1.97,10.3,0.192,-35.57,1.3,17.8,279,9.6,67.0,0.261,1.31,11.89
boll_20_2_ls,1998-07-22,2026-07-31,6956,-0.38,11.38,-0.033,-56.18,0.13,18.1,89,3.1,70.8,0.04,1.02,5.22
tom_1_3,1998-07-22,2026-07-31,6956,3.5,10.66,0.329,-28.71,2.03,19.4,337,11.6,58.8,0.367,1.37,11.84
foreign_z60_ls,1998-07-22,2026-07-31,6956,-0.39,7.9,-0.049,-33.06,-0.05,9.6,63,2.2,47.6,-0.06,0.96,1.45
foreign_level_ls,1998-07-22,2026-07-31,6956,-3.35,7.98,-0.42,-67.28,-2.08,10.4,24,0.8,33.3,-2.796,0.15,0.98
foreign_level_lo,1998-07-22,2026-07-31,6956,0.24,0.71,0.334,-1.47,1.81,0.5,12,0.4,41.7,0.596,4.49,0.24
pcr_oi_ls,1998-07-22,2026-07-31,6956,3.49,17.31,0.201,-63.75,1.53,61.5,530,18.3,45.8,0.286,1.29,23.81
basis_z120_ls,1998-07-22,2026-07-31,6956,8.0,13.61,0.588,-28.65,3.41,29.9,1007,34.7,57.5,0.26,1.46,37.97
basis_z120_nodiv_ls,1998-07-22,2026-07-31,6956,4.05,10.74,0.377,-27.16,2.28,17.2,664,22.9,55.4,0.211,1.38,24.88
mtx_retail_z120_ls,1998-07-22,2026-07-31,6956,-0.14,3.89,-0.036,-18.17,-0.09,2.3,71,2.4,49.3,-0.025,0.97,1.26
overnight_long,1998-07-22,2026-07-31,6956,0.75,14.56,0.052,-78.51,0.67,100.0,6955,240.0,52.1,0.0076,,245.0
intraday_short,1998-07-22,2026-07-31,6956,-11.42,18.4,-0.62,-97.69,-3.05,100.0,6955,240.0,47.2,-0.0434,0.0,245.0
