name,start,end,n_days,ann_ret_pct,ann_vol_pct,sharpe,max_dd_pct,t_stat,exposure_pct,n_trades,trades_per_yr,win_rate_pct,avg_trade_pct,profit_factor,total_cost_pct,window
buy_hold,1998-07-22,2017-12-29,4870,4.64,24.24,0.191,-67.8,1.39,100.0,1,0.0,100.0,150.87,,9.63,IS
buy_hold,2018-01-02,2026-07-31,2086,21.75,20.34,1.069,-30.25,3.15,100.0,1,0.1,100.0,453.042,,2.17,OOS
ma_20_60_ls,1998-07-22,2017-12-29,4870,-0.84,24.08,-0.035,-60.51,0.39,98.8,91,4.5,36.3,0.359,1.1,13.3,IS
ma_20_60_ls,2018-01-02,2026-07-31,2086,11.95,20.37,0.587,-27.6,1.94,100.0,38,4.4,34.2,3.758,2.76,3.01,OOS
ma_20_60_lo,1998-07-22,2017-12-29,4870,4.36,15.18,0.287,-30.07,1.61,57.1,45,2.2,51.1,2.599,1.95,7.06,IS
ma_20_60_lo,2018-01-02,2026-07-31,2086,17.79,15.94,1.116,-20.5,3.27,67.7,19,2.2,47.4,9.75,9.04,1.81,OOS
ma_5_20_ls,1998-07-22,2017-12-29,4870,-4.91,24.23,-0.203,-76.41,-0.39,99.6,306,15.1,31.7,-0.16,0.92,22.17,IS
ma_5_20_ls,2018-01-02,2026-07-31,2086,8.08,20.38,0.396,-39.37,1.42,100.0,114,13.1,32.5,0.769,1.48,4.56,OOS
ma_50_200_ls,1998-07-22,2017-12-29,4870,-2.61,23.54,-0.111,-82.57,0.03,95.9,30,1.5,36.7,-0.895,0.85,10.52,IS
ma_50_200_ls,2018-01-02,2026-07-31,2086,5.59,20.38,0.274,-44.29,1.09,100.0,11,1.3,36.4,8.116,2.2,2.41,OOS
ma_50_200_lo,1998-07-22,2017-12-29,4870,2.89,15.53,0.186,-34.91,1.18,60.8,15,0.7,53.3,5.059,2.24,5.95,IS
ma_50_200_lo,2018-01-02,2026-07-31,2086,13.97,17.99,0.777,-29.98,2.41,77.3,6,0.7,66.7,24.8,11.18,1.75,OOS
donchian_20_10_ls,1998-07-22,2017-12-29,4870,-1.17,21.11,-0.055,-45.8,0.23,76.5,169,8.3,35.5,0.052,1.02,14.22,IS
donchian_20_10_ls,2018-01-02,2026-07-31,2086,9.67,18.17,0.532,-26.24,1.77,74.8,62,7.1,41.9,1.542,1.87,2.86,OOS
donchian_55_20_ls,1998-07-22,2017-12-29,4870,-0.74,20.04,-0.037,-54.51,0.29,64.5,71,3.5,39.4,0.203,1.06,9.3,IS
donchian_55_20_ls,2018-01-02,2026-07-31,2086,10.91,17.08,0.639,-25.94,2.04,63.2,26,3.0,61.5,4.126,3.22,1.81,OOS
tsmom_60_ls,1998-07-22,2017-12-29,4870,2.02,24.08,0.084,-57.3,0.92,98.7,226,11.1,31.9,0.419,1.27,18.95,IS
tsmom_60_ls,2018-01-02,2026-07-31,2086,1.28,20.39,0.063,-56.72,0.49,100.0,100,11.5,29.0,0.41,1.27,4.35,OOS
tsmom_120_ls,1998-07-22,2017-12-29,4870,-2.69,23.88,-0.112,-78.87,0.03,97.5,200,9.9,31.0,-0.102,0.94,17.88,IS
tsmom_120_ls,2018-01-02,2026-07-31,2086,6.67,20.38,0.327,-41.25,1.24,100.0,69,7.9,29.0,1.428,1.9,3.7,OOS
tsmom_250_ls,1998-07-22,2017-12-29,4870,-2.44,23.46,-0.104,-73.97,0.06,94.8,129,6.4,32.6,-0.223,0.87,14.75,IS
tsmom_250_ls,2018-01-02,2026-07-31,2086,6.86,20.38,0.337,-49.09,1.26,100.0,51,5.9,33.3,2.02,2.15,3.37,OOS
rsi2_lo,1998-07-22,2017-12-29,4870,1.66,7.87,0.211,-16.84,1.12,10.5,119,5.9,67.2,0.326,1.53,5.46,IS
rsi2_lo,2018-01-02,2026-07-31,2086,9.06,8.55,1.06,-6.21,3.12,12.2,70,8.1,75.7,1.108,4.61,1.66,OOS
rsi2_ls,1998-07-22,2017-12-29,4870,0.22,10.61,0.021,-35.57,0.33,17.9,189,9.3,65.6,0.09,1.1,9.59,IS
rsi2_ls,2018-01-02,2026-07-31,2086,6.19,9.54,0.65,-14.6,2.0,17.4,90,10.4,70.0,0.62,2.03,2.3,OOS
boll_20_2_ls,1998-07-22,2017-12-29,4870,-1.8,11.57,-0.156,-56.18,-0.45,18.3,59,2.9,64.4,-0.423,0.8,4.2,IS
boll_20_2_ls,2018-01-02,2026-07-31,2086,3.04,10.91,0.279,-28.09,0.97,17.7,30,3.5,83.3,0.953,2.02,1.03,OOS
tom_1_3,1998-07-22,2017-12-29,4870,2.46,10.81,0.227,-28.71,1.26,19.2,234,11.5,56.8,0.286,1.27,9.66,IS
tom_1_3,2018-01-02,2026-07-31,2086,5.99,10.3,0.582,-21.01,1.82,19.8,103,11.9,63.1,0.55,1.65,2.17,OOS
foreign_z60_ls,1998-07-22,2017-12-29,4870,0.0,0.0,,0.0,,0.0,0,0.0,,,,0.0,IS
