family,fast,slow,sharpe,ann_ret_pct,entry,exit_,lookback
ma_cross,5.0,20.0,-0.051,-1.19,,,
ma_cross,5.0,60.0,0.219,5.04,,,
ma_cross,5.0,120.0,0.136,3.11,,,
ma_cross,5.0,200.0,0.012,0.27,,,
ma_cross,10.0,20.0,-0.117,-2.71,,,
ma_cross,10.0,60.0,0.125,2.87,,,
ma_cross,10.0,120.0,0.173,3.96,,,
ma_cross,10.0,200.0,0.081,1.84,,,
ma_cross,20.0,60.0,0.123,2.84,,,
ma_cross,20.0,120.0,0.163,3.74,,,
ma_cross,20.0,200.0,0.216,4.89,,,
ma_cross,30.0,60.0,0.145,3.35,,,
ma_cross,30.0,120.0,0.123,2.82,,,
ma_cross,30.0,200.0,0.081,1.84,,,
ma_cross,50.0,60.0,0.222,5.12,,,
ma_cross,50.0,120.0,-0.062,-1.42,,,
ma_cross,50.0,200.0,-0.01,-0.22,,,
donchian,,,-0.03,-0.62,10.0,5.0,
donchian,,,0.055,1.28,10.0,10.0,
donchian,,,0.026,0.61,10.0,20.0,
donchian,,,-0.038,-0.68,20.0,5.0,
donchian,,,0.097,1.97,20.0,10.0,
donchian,,,0.016,0.36,20.0,20.0,
donchian,,,-0.136,-2.09,40.0,5.0,
donchian,,,0.083,1.47,40.0,10.0,
donchian,,,0.113,2.32,40.0,20.0,
donchian,,,-0.078,-1.11,55.0,5.0,
donchian,,,0.11,1.82,55.0,10.0,
donchian,,,0.137,2.62,55.0,20.0,
donchian,,,-0.028,-0.37,80.0,5.0,
donchian,,,0.165,2.57,80.0,10.0,
donchian,,,0.179,3.24,80.0,20.0,
tsmom,,,-0.005,-0.11,,,20.0
tsmom,,,0.134,3.1,,,40.0
tsmom,,,0.078,1.8,,,60.0
tsmom,,,-0.117,-2.68,,,90.0
tsmom,,,0.001,0.03,,,120.0
tsmom,,,0.07,1.58,,,180.0
tsmom,,,0.012,0.26,,,250.0
