name,start,end,n_days,cagr_pct,ann_vol_pct,sharpe,max_dd_pct,t_stat,exposure_pct,n_trades,trades_per_yr,win_rate_pct,avg_trade_pct,profit_factor,total_cost_pct
buy_hold [1998-07-22..2007-12-31],1998-07-22,2007-12-31,2394,1.58,27.93,0.196,-67.42,0.61,100.0,1,0.1,100.0,16.313,,5.19
buy_hold [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,3.25,28.75,0.255,-54.65,0.51,100.0,1,0.2,100.0,13.719,,1.96
buy_hold [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,8.33,14.02,0.641,-23.91,1.28,100.0,1,0.3,100.0,37.54,,1.7
buy_hold [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,15.39,13.19,1.151,-14.6,2.29,100.0,1,0.3,100.0,75.95,,1.45
buy_hold [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,13.17,20.66,0.702,-29.96,1.21,100.0,1,0.3,100.0,44.297,,0.79
buy_hold [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,38.22,23.61,1.49,-30.49,2.78,100.0,1,0.3,100.0,208.009,,0.69
ma_20_60_ls [1998-10-07..2007-12-31],1998-10-07,2007-12-31,2334,-3.01,27.94,0.031,-56.46,0.09,100.0,45,4.8,31.1,-0.169,0.95,6.97
ma_20_60_ls [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,7.46,28.78,0.394,-46.11,0.79,100.0,15,3.7,20.0,3.473,1.82,2.5
ma_20_60_ls [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,-0.51,14.13,0.034,-30.73,0.07,100.0,19,4.8,57.9,-0.007,1.0,2.31
ma_20_60_ls [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,2.52,13.24,0.254,-18.23,0.5,100.0,18,4.6,38.9,0.727,1.39,1.92
ma_20_60_ls [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,5.03,20.51,0.342,-34.64,0.59,100.0,13,4.4,23.1,2.524,1.75,1.02
ma_20_60_ls [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,29.39,23.64,1.209,-25.51,2.25,100.0,13,3.7,46.2,9.583,6.97,0.88
ma_20_60_lo [1998-10-07..2007-12-31],1998-10-07,2007-12-31,2334,2.9,17.48,0.251,-28.71,0.77,52.7,22,2.3,45.5,1.68,1.56,3.48
ma_20_60_lo [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,8.23,18.01,0.529,-28.09,1.06,60.6,7,1.7,28.6,6.84,2.39,1.43
ma_20_60_lo [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,4.44,10.16,0.478,-14.9,0.96,69.6,9,2.3,77.8,1.577,3.73,1.51
ma_20_60_lo [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,9.24,10.25,0.913,-9.32,1.81,75.6,9,2.3,55.6,3.926,5.21,1.35
ma_20_60_lo [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,10.28,14.6,0.744,-23.45,1.28,64.5,7,2.4,14.3,6.288,2.72,0.63
ma_20_60_lo [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,34.75,20.39,1.566,-20.73,2.92,79.9,7,2.0,57.1,19.356,14.16,0.63
ma_5_20_ls [1998-08-17..2007-12-31],1998-08-17,2007-12-31,2374,-0.81,27.98,0.111,-47.89,0.34,100.0,141,14.7,31.9,0.171,1.08,11.24
ma_5_20_ls [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,-10.1,28.72,-0.227,-46.85,-0.45,100.0,65,16.2,33.8,-0.362,0.86,4.45
ma_5_20_ls [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,-1.53,13.78,-0.043,-24.3,-0.09,100.0,63,15.8,39.7,-0.052,0.95,3.86
ma_5_20_ls [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,-2.41,13.08,-0.122,-35.89,-0.24,100.0,59,14.9,33.9,-0.115,0.91,3.14
ma_5_20_ls [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,19.25,20.74,0.953,-17.59,1.64,100.0,42,14.2,40.5,1.456,2.12,1.66
ma_5_20_ls [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,7.1,23.86,0.406,-40.3,0.76,100.0,55,15.8,38.2,0.571,1.36,1.57
