name,start,end,n_days,cagr_pct,ann_vol_pct,sharpe,max_dd_pct,t_stat,exposure_pct,n_trades,trades_per_yr,win_rate_pct,avg_trade_pct,profit_factor,total_cost_pct,window
buy_hold,1998-07-22,2017-12-29,4870,4.97,24.65,0.32,-67.42,1.42,100.0,1,0.1,100.0,159.038,,9.63,pre2018
buy_hold,2018-01-02,2026-07-31,2086,22.45,20.67,1.084,-30.49,3.14,100.0,1,0.1,100.0,449.205,,2.17,post2018
ma_20_60_ls,1998-10-07,2017-12-29,4810,0.6,24.64,0.148,-59.6,0.65,100.0,83,4.3,36.1,0.724,1.22,12.72,pre2018
ma_20_60_ls,2018-01-02,2026-07-31,2086,12.69,20.64,0.682,-34.64,1.98,100.0,36,4.3,38.9,4.268,2.99,2.9,post2018
ma_20_60_lo,1998-10-07,2017-12-29,4810,5.35,15.74,0.41,-30.36,1.81,60.9,41,2.1,51.2,3.061,2.16,7.12,pre2018
ma_20_60_lo,2018-01-02,2026-07-31,2086,18.47,16.47,1.112,-23.45,3.22,71.7,18,2.1,44.4,10.404,6.35,1.92,post2018
ma_5_20_ls,1998-08-17,2017-12-29,4850,-3.25,24.63,-0.011,-64.07,-0.05,100.0,298,15.2,34.2,-0.032,0.98,21.21,pre2018
ma_5_20_ls,2018-01-02,2026-07-31,2086,9.23,20.78,0.529,-40.3,1.53,100.0,124,14.7,37.9,0.744,1.54,4.71,post2018
ma_50_200_ls,1999-04-21,2017-12-29,4670,-0.67,24.41,0.095,-75.73,0.41,100.0,28,1.5,35.7,0.646,1.11,10.32,pre2018
ma_50_200_ls,2018-01-02,2026-07-31,2086,9.41,20.68,0.539,-35.92,1.56,100.0,9,1.1,33.3,12.931,3.19,2.36,post2018
ma_50_200_lo,1999-04-21,2017-12-29,4670,4.18,16.71,0.329,-37.32,1.43,68.5,14,0.7,57.1,7.283,2.9,6.32,pre2018
ma_50_200_lo,2018-01-02,2026-07-31,2086,16.38,18.16,0.927,-29.96,2.69,80.1,5,0.6,60.0,32.944,22.53,1.77,post2018
donchian_20_10_ls,1998-08-17,2017-12-29,4850,-2.3,21.34,-0.002,-53.27,-0.01,76.9,169,8.6,34.3,-0.05,0.98,14.0,pre2018
donchian_20_10_ls,2018-01-02,2026-07-31,2086,8.24,18.77,0.516,-28.5,1.5,77.7,65,7.7,38.5,1.241,1.68,2.87,post2018
donchian_55_20_ls,1998-09-30,2017-12-29,4815,-1.68,20.64,0.021,-49.36,0.09,66.4,76,3.9,38.2,-0.016,0.99,9.59,pre2018
donchian_55_20_ls,2018-01-02,2026-07-31,2086,11.71,17.46,0.722,-22.29,2.09,67.9,27,3.2,59.3,3.946,3.39,1.93,post2018
tsmom_60_ls,1998-10-07,2017-12-29,4810,2.69,24.65,0.231,-48.01,1.02,100.0,246,12.7,40.2,0.432,1.28,19.52,pre2018
tsmom_60_ls,2018-01-02,2026-07-31,2086,7.98,20.66,0.476,-44.53,1.38,100.0,104,12.4,41.3,0.91,1.72,4.37,post2018
tsmom_120_ls,1998-12-28,2017-12-29,4750,1.15,24.55,0.169,-58.74,0.74,100.0,166,8.7,36.7,0.391,1.24,16.29,pre2018
tsmom_120_ls,2018-01-02,2026-07-31,2086,9.43,20.69,0.54,-39.81,1.57,100.0,45,5.3,35.6,2.828,2.48,3.09,post2018
tsmom_250_ls,1999-06-28,2017-12-29,4620,-0.06,24.68,0.121,-64.78,0.52,100.0,89,4.8,36.0,0.313,1.14,12.74,pre2018
tsmom_250_ls,2018-01-02,2026-07-31,2086,10.82,20.72,0.6,-40.21,1.74,100.0,53,6.3,45.3,2.624,2.75,3.29,post2018
rsi2_lo,1999-04-21,2017-12-29,4670,1.51,8.5,0.219,-20.91,0.95,11.7,128,6.8,71.1,0.266,1.42,5.88,pre2018
rsi2_lo,2018-01-02,2026-07-31,2086,7.76,9.12,0.866,-10.15,2.51,12.7,77,9.2,80.5,0.745,3.82,1.78,post2018
rsi2_ls,1999-04-21,2017-12-29,4670,-0.01,11.39,0.057,-36.87,0.25,18.7,189,10.0,69.8,0.088,1.1,9.37,pre2018
rsi2_ls,2018-01-02,2026-07-31,2086,4.47,10.02,0.487,-16.52,1.41,17.5,94,11.2,73.4,0.388,1.76,2.34,post2018
