family,test_year,chosen,train_sharpe,cagr_pct,sharpe,max_dd_pct,t_stat,n_trades,win_rate_pct
ma_cross,2003,"{'fast': 50, 'slow': 60}",0.75,,,,,,
ma_cross,2004,"{'fast': 50, 'slow': 60}",0.81,,,,,,
ma_cross,2005,"{'fast': 5, 'slow': 60}",0.53,,,,,,
ma_cross,2006,"{'fast': 5, 'slow': 60}",0.27,,,,,,
ma_cross,2007,"{'fast': 30, 'slow': 200}",0.1,,,,,,
ma_cross,2008,"{'fast': 20, 'slow': 120}",0.13,,,,,,
ma_cross,2009,"{'fast': 10, 'slow': 20}",0.53,,,,,,
ma_cross,2010,"{'fast': 10, 'slow': 20}",0.94,,,,,,
ma_cross,2011,"{'fast': 5, 'slow': 120}",0.99,,,,,,
ma_cross,2012,"{'fast': 30, 'slow': 60}",0.53,,,,,,
ma_cross,2013,"{'fast': 30, 'slow': 60}",0.15,,,,,,
ma_cross,2014,"{'fast': 50, 'slow': 60}",-0.1,,,,,,
ma_cross,2015,"{'fast': 50, 'slow': 60}",0.27,,,,,,
ma_cross,2016,"{'fast': 50, 'slow': 60}",0.29,,,,,,
ma_cross,2017,"{'fast': 50, 'slow': 200}",0.57,,,,,,
ma_cross,2018,"{'fast': 30, 'slow': 200}",0.73,,,,,,
ma_cross,2019,"{'fast': 30, 'slow': 200}",0.49,,,,,,
ma_cross,2020,"{'fast': 20, 'slow': 200}",0.64,,,,,,
ma_cross,2021,"{'fast': 5, 'slow': 120}",0.77,,,,,,
ma_cross,2022,"{'fast': 10, 'slow': 120}",0.69,,,,,,
ma_cross,2023,"{'fast': 5, 'slow': 20}",0.94,,,,,,
ma_cross,2024,"{'fast': 5, 'slow': 200}",0.76,,,,,,
ma_cross,2025,"{'fast': 5, 'slow': 200}",1.21,,,,,,
ma_cross,2026,"{'fast': 5, 'slow': 200}",0.92,,,,,,
ma_cross,ALL_OOS,,,3.18,0.254,-64.45,1.23,127.0,36.2
donchian,2003,"{'entry': 10, 'exit_': 5}",0.42,,,,,,
